"Severity","Appender","Date","Time","Category","Message"
"WARN","coldboxfile","08/08/2009","10:45:56","Coldbox Flex Tester","The BeanFactory definition file cannot be located -> /coldbox/samples/applications/ColdboxFlexTester/webroot/config/ModelMappings.cfm"
"INFO","coldboxfile","08/08/2009","10:45:56","Coldbox Flex Tester","AppStart Fired"
"WARN","coldboxfile","08/11/2009","11:24:19","Coldbox Flex Tester","The BeanFactory definition file cannot be located -> /coldbox/samples/applications/ColdboxFlexTester/webroot/config/ModelMappings.cfm"
"INFO","coldboxfile","08/11/2009","11:24:19","Coldbox Flex Tester","AppStart Fired"
"INFO","coldboxfile","10/07/2009","08:20:56","Coldbox Flex Tester","No bean factory configuration file found, continuing operation."
"ERROR","coldboxfile","10/07/2009","08:20:57","Coldbox Flex Tester","Application Execution Exception ExtraInfo:CFErrorType=coldbox.system.beans.requestContextCFDetails=If the component name is specified as a type of this argument, it is possible that either a definition file for the component cannot be found or is not accessible.CFMessage=The EVENT argument passed to the onApplicationStart function is not of type coldbox.system.beans.requestContext.CFStackTrace=coldfusion.runtime.UDFMethod$InvalidArgumentTypeException: The EVENT argument passed to the onApplicationStart function is not of type coldbox.system.beans.requestContext.
	at coldfusion.runtime.UDFMethod._validateArg(UDFMethod.java:1080)
	at coldfusion.runtime.UDFMethod._validateArg(UDFMethod.java:1089)
	at cfehGeneral2ecfc1618222301$funcONAPPLICATIONSTART.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/samples/coldbox/samples/applications/ColdboxFlexTester/webroot/handlers/ehGeneral.cfc:19)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:472)
	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:405)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:368)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:55)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:321)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:517)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:495)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:354)
	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2301)
	at coldfusion.tagext.lang.InvokeTag.doEndTag(InvokeTag.java:382)
	at cfController2ecfc327635193$funcRUNEVENT.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/web/Controller.cfc:534)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:472)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:405)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:368)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:55)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:321)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:220)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:490)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:336)
	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2360)
	at cfColdbox2ecfc2051432645$funcPROCESSCOLDBOXREQUEST.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/Coldbox.cfc:166)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:472)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:405)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:368)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:55)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:321)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:220)
	at coldfusion.runtime.CfJspPage._invokeUDF(CfJspPage.java:2582)
	at cfApplication2ecfc1272793046$funcONREQUESTSTART.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/samples/coldbox/samples/applications/ColdboxFlexTester/webroot/Application.cfc:51)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:472)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:405)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:368)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:55)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:321)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:220)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:490)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:336)
	at coldfusion.runtime.AppEventInvoker.invoke(AppEventInvoker.java:88)
	at coldfusion.runtime.AppEventInvoker.onRequestStart(AppEventInvoker.java:258)
	at coldfusion.filter.ApplicationFilter.invoke(ApplicationFilter.java:331)
	at coldfusion.filter.MonitoringFilter.invoke(MonitoringFilter.java:40)
	at coldfusion.filter.PathFilter.invoke(PathFilter.java:87)
	at coldfusion.filter.LicenseFilter.invoke(LicenseFilter.java:27)
	at coldfusion.filter.ExceptionFilter.invoke(ExceptionFilter.java:70)
	at coldfusion.filter.BrowserDebugFilter.invoke(BrowserDebugFilter.java:74)
	at coldfusion.filter.ClientScopePersistenceFilter.invoke(ClientScopePersistenceFilter.java:28)
	at coldfusion.filter.BrowserFilter.invoke(BrowserFilter.java:38)
	at coldfusion.filter.NoCacheFilter.invoke(NoCacheFilter.java:46)
	at coldfusion.filter.GlobalsFilter.invoke(GlobalsFilter.java:38)
	at coldfusion.filter.DatasourceFilter.invoke(DatasourceFilter.java:22)
	at coldfusion.filter.CachingFilter.invoke(CachingFilter.java:53)
	at coldfusion.CfmServlet.service(CfmServlet.java:200)
	at coldfusion.bootstrap.BootstrapServlet.service(BootstrapServlet.java:89)
	at jrun.servlet.FilterChain.doFilter(FilterChain.java:86)
	at coldfusion.monitor.event.MonitoringServletFilter.doFilter(MonitoringServletFilter.java:42)
	at coldfusion.bootstrap.BootstrapFilter.doFilter(BootstrapFilter.java:46)
	at jrun.servlet.FilterChain.doFilter(FilterChain.java:94)
	at jrun.servlet.FilterChain.service(FilterChain.java:101)
	at jrun.servlet.ServletInvoker.invoke(ServletInvoker.java:106)
	at jrun.servlet.JRunInvokerChain.invokeNext(JRunInvokerChain.java:42)
	at jrun.servlet.JRunRequestDispatcher.invoke(JRunRequestDispatcher.java:286)
	at jrun.servlet.ServletEngineService.dispatch(ServletEngineService.java:543)
	at jrun.servlet.jrpp.JRunProxyService.invokeRunnable(JRunProxyService.java:203)
	at jrunx.scheduler.ThreadPool$ThreadThrottle.invokeRunnable(ThreadPool.java:428)
	at jrunx.scheduler.WorkerThread.run(WorkerThread.java:66)
CFTagContext=ID: CF_UDFMETHOD; LINE: 19; TEMPLATE: /Users/lmajano/Documents/MyDevelopment/cboxdev/samples/coldbox/samples/applications/ColdboxFlexTester/webroot/handlers/ehGeneral.cfc ID: CFINVOKE; LINE: 534; TEMPLATE: /Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/web/Controller.cfc ID: CF_TEMPLATEPROXY; LINE: 166; TEMPLATE: /Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/Coldbox.cfc ID: CF_UDFMETHOD; LINE: 51; TEMPLATE: /Users/lmajano/Documents/MyDevelopment/cboxdev/samples/coldbox/samples/applications/ColdboxFlexTester/webroot/Application.cfc"
"INFO","coldboxfile","10/07/2009","08:24:00","Coldbox Flex Tester","AppStart Fired"
"ERROR","coldboxfile","10/07/2009","08:25:19","Coldbox Flex Tester","Invalid Event detected: coldbox.samples.applications.ColdboxFlexTester.webroot.handlers.ehFlex"
"ERROR","coldboxfile","10/07/2009","08:25:19","Coldbox Flex Tester","Application Execution Exception ExtraInfo:CFErrorType=HandlerService.invalidEventExceptionCFDetails=An invalid event has been detected: [coldbox.samples.applications.ColdboxFlexTester.webroot.handlers.ehFlex] The action requested: [nothing] does not exists in the specified handler.CFMessage=An invalid event has been detectedCFStackTrace=coldfusion.runtime.CustomException: An invalid event has been detected
	at coldfusion.tagext.lang.ThrowTag.doStartTag(ThrowTag.java:142)
	at coldfusion.runtime.CfJspPage._emptyTcfTag(CfJspPage.java:2722)
	at cfUtil2ecfc215042382$funcTHROWIT.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/core/util/Util.cfc:67)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:472)
	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:368)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:55)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:321)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:517)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:495)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:354)
	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2301)
	at cfHandlerService2ecfc676390798$funcGETHANDLER.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/services/HandlerService.cfc:141)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:472)
	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:405)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:368)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:55)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:321)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:220)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:490)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:336)
	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2360)
	at cfController2ecfc327635193$funcRUNEVENT.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/web/Controller.cfc:466)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:472)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:405)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:368)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:55)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:321)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:517)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:495)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:354)
	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2301)
