"Severity","Appender","Date","Time","Category","Message"
"WARN","coldboxfile","07/19/2009","17:45:28","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","17:47:03","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","17:48:00","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","17:48:24","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","17:48:36","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","17:49:04","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","17:51:24","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","17:56:01","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","17:56:19","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:01:58","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:02:34","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:02:53","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:03:00","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:03:45","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:03:51","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"ERROR","coldboxfile","07/19/2009","18:04:06","Coldbox Samples Browser","Application Execution Exception ExtraInfo:CFErrorType=Framework.EventHandlerNotRegisteredExceptionCFMessage=The event handler: images.bg-glass.png is not valid registered event.CFStackTrace=coldfusion.runtime.CustomException: The event handler: images.bg-glass.png is not valid registered event.
	at coldfusion.tagext.lang.ThrowTag.doStartTag(ThrowTag.java:124)
	at coldfusion.runtime.CfJspPage._emptyTcfTag(CfJspPage.java:2661)
	at cfUtil2ecfc491049373$funcTHROWIT.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/util/Util.cfc:25)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)
	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:59)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:448)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:308)
	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2272)
	at cfHandlerService2ecfc676390798$funcGETREGISTEREDHANDLER.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/services/HandlerService.cfc:259)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)
	at coldfusion.filter.SilentFilter.invoke(SilentFilter.java:47)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:59)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:448)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:308)
	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2272)
	at cfController2ecfc808519442$funcRUNEVENT.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/Controller.cfc:441)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:59)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:463)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:453)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:320)
	at coldfusion.runtime.CfJspPage._invoke(CfJspPage.java:2222)
	at cfColdbox2ecfc2051432645$funcPROCESSCOLDBOXREQUEST.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/Coldbox.cfc:186)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:59)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)
	at coldfusion.runtime.CfJspPage._invokeUDF(CfJspPage.java:2471)
	at cfApplication2ecfc1381907897$funcONREQUESTSTART.runFunction(/Users/lmajano/Documents/MyDevelopment/cboxdev/samples/coldbox/samples/Application.cfc:51)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:418)
	at coldfusion.runtime.UDFMethod$ReturnTypeFilter.invoke(UDFMethod.java:360)
	at coldfusion.runtime.UDFMethod$ArgumentCollectionFilter.invoke(UDFMethod.java:324)
	at coldfusion.filter.FunctionAccessFilter.invoke(FunctionAccessFilter.java:59)
	at coldfusion.runtime.UDFMethod.runFilterChain(UDFMethod.java:277)
	at coldfusion.runtime.UDFMethod.invoke(UDFMethod.java:192)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:448)
	at coldfusion.runtime.TemplateProxy.invoke(TemplateProxy.java:308)
	at coldfusion.runtime.AppEventInvoker.invoke(AppEventInvoker.java:74)
	at coldfusion.runtime.AppEventInvoker.onRequestStart(AppEventInvoker.java:221)
	at coldfusion.filter.ApplicationFilter.invoke(ApplicationFilter.java:264)
	at coldfusion.filter.MonitoringFilter.invoke(MonitoringFilter.java:40)
	at coldfusion.filter.PathFilter.invoke(PathFilter.java:86)
	at coldfusion.filter.LicenseFilter.invoke(LicenseFilter.java:27)
	at coldfusion.filter.ExceptionFilter.invoke(ExceptionFilter.java:70)
	at coldfusion.filter.BrowserDebugFilter.invoke(BrowserDebugFilter.java:74)
	at coldfusion.filter.ClientScopePersistenceFilter.invoke(ClientScopePersistenceFilter.java:28)
	at coldfusion.filter.BrowserFilter.invoke(BrowserFilter.java:38)
	at coldfusion.filter.NoCacheFilter.invoke(NoCacheFilter.java:46)
	at coldfusion.filter.GlobalsFilter.invoke(GlobalsFilter.java:38)
	at coldfusion.filter.DatasourceFilter.invoke(DatasourceFilter.java:22)
	at coldfusion.CfmServlet.service(CfmServlet.java:175)
	at coldfusion.bootstrap.BootstrapServlet.service(BootstrapServlet.java:89)
	at jrun.servlet.FilterChain.doFilter(FilterChain.java:86)
	at coldfusion.monitor.event.MonitoringServletFilter.doFilter(MonitoringServletFilter.java:42)
	at coldfusion.bootstrap.BootstrapFilter.doFilter(BootstrapFilter.java:46)
	at jrun.servlet.FilterChain.doFilter(FilterChain.java:94)
	at jrun.servlet.FilterChain.service(FilterChain.java:101)
	at jrun.servlet.ServletInvoker.invoke(ServletInvoker.java:106)
	at jrun.servlet.JRunInvokerChain.invokeNext(JRunInvokerChain.java:42)
	at jrun.servlet.JRunRequestDispatcher.invoke(JRunRequestDispatcher.java:286)
	at jrun.servlet.ServletEngineService.dispatch(ServletEngineService.java:543)
	at jrun.servlet.jrpp.JRunProxyService.invokeRunnable(JRunProxyService.java:203)
	at jrunx.scheduler.ThreadPool$ThreadThrottle.invokeRunnable(ThreadPool.java:428)
	at jrunx.scheduler.WorkerThread.run(WorkerThread.java:66)
CFTagContext=ID: CFTHROW; LINE: 25; TEMPLATE: /Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/util/Util.cfc ID: CF_TEMPLATEPROXY; LINE: 259; TEMPLATE: /Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/services/HandlerService.cfc ID: CF_TEMPLATEPROXY; LINE: 441; TEMPLATE: /Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/Controller.cfc ID: CF_TEMPLATEPROXY; LINE: 186; TEMPLATE: /Users/lmajano/Documents/MyDevelopment/cboxdev/core/coldbox/system/Coldbox.cfc ID: CF_UDFMETHOD; LINE: 51; TEMPLATE: /Users/lmajano/Documents/MyDevelopment/cboxdev/samples/coldbox/samples/Application.cfc"
"WARN","coldboxfile","07/19/2009","18:04:29","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:04:47","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:06:25","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:06:39","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:07:11","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:07:37","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/19/2009","18:08:09","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
"WARN","coldboxfile","07/25/2009","15:00:42","Coldbox Samples Browser","The BeanFactory definition file cannot be located -> /coldbox/samples/config/ModelMappings.cfm"
